gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,geometry
4169459597,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:111251605,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Lernacken, Lernacken, Sk",Skåne,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,55.57078,12.89585,25.0,,,,,,2023-08-01,1.0,8.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,111251605,,,,CC0_1_0,Tomas Järnetun,Tomas Järnetun,,,2025-07-19T14:08:18.750Z,,,POINT (12.89585 55.57078)
4169446335,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:110855519,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Påarp, Hl",Halland,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,56.60656,12.91494,1000.0,,,,,,2023-06-21,21.0,6.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,110855519,,,,CC0_1_0,Carsten Fog,Carsten Fog,,,2025-07-19T14:06:44.790Z,,,POINT (12.91494 56.60656)
4169445343,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:110992964,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Långholmen nordspets, Lilla Hamburgö, Tanum, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.53718,11.23048,125.0,,,,,,2023-07-21,21.0,7.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,110992964,,,,CC0_1_0,Daniel Mattsson,Daniel Mattsson,,,2025-07-19T13:59:39.558Z,,,POINT (11.23048 58.53718)
4169437400,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:110992981,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Östsidan Långholmen, Lilla Hamburgö, Tanum, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.53614,11.23076,25.0,,,,,,2023-07-21,21.0,7.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,110992981,,,,CC0_1_0,Daniel Mattsson,Daniel Mattsson,,,2025-07-19T14:13:06.590Z,,,POINT (11.23076 58.53614)
4154856632,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:110711978,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera noltii,,SPECIES,Zostera noltii Hornem.,Zostera noltii,Hornem.,SE,"Tjolöholm, NV badplatsen, Hl",Halland,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,57.39814,12.0981,50.0,,,,,,2023-07-09,9.0,7.0,2023,2863938,2863938.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,110711978,,,,CC0_1_0,Lars Stibe,"Lars Stibe, Per Wahlén, Kirsten Malmström",,,2025-07-19T14:08:10.615Z,,,POINT (12.0981 57.39814)
4128094864,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:109828975,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Stranden, Udden, Bodele, Uddevalla, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.33285,11.90871,25.0,,,,,,2023-06-05T13:57/2023-06-05T14:18,5.0,6.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,109828975,,,,CC0_1_0,Rune Hixén,Rune Hixén,,,2025-07-19T14:09:01.418Z,,,POINT (11.90871 58.33285)
4093801311,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:108206271,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Kyrkviken, Resö, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.81489,11.18006,1.0,,,,,,2023-04-07,7.0,4.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,108206271,,,,CC0_1_0,Pelle Barkengren,"Pelle Barkengren, Anders Barkengren, Alfred Barkengren",,,2025-07-19T13:59:05.493Z,,,POINT (11.18006 58.81489)
4078520736,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:107972022,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Fiskebäck, Boh",Bohuslän,PRESENT,10.0,b8323864-602a-4a7d-9127-bb903054e97d,58.287,11.48703,8.0,,,,,,2023-04-09T19:36,9.0,4.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,107972022,,,,CC0_1_0,Linnea Ingelsbo,Linnea Ingelsbo,,,2025-07-19T14:15:00.496Z,,,POINT (11.48703 58.287)
4078356875,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:107972084,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Fiskebäck, Boh",Bohuslän,PRESENT,70.0,b8323864-602a-4a7d-9127-bb903054e97d,58.28705,11.48731,8.0,,,,,,2023-04-09T19:38,9.0,4.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,107972084,,,,CC0_1_0,Linnea Ingelsbo,Linnea Ingelsbo,,,2025-07-19T14:03:50.954Z,,,POINT (11.48731 58.28705)
4059824333,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:107203741,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Järkholmen, Vg",Västergötland,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,57.60756,11.91958,10.0,,,,,,2023-03-09,9.0,3.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,107203741,,,,CC0_1_0,Ulf Persson,Ulf Persson,,,2025-07-19T14:20:53.911Z,,,POINT (11.91958 57.60756)
