gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2246350961	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744605	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.71184	17.49887	5.0						2015-08-08	8	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744605				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:05:40.681Z		
2246350948	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745395	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69388	17.49204	5.0						2015-08-05	5	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745395				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:17:44.074Z		
2246350927	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744576	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.71267	17.49392	5.0						2015-08-08	8	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744576				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:13:32.009Z		
2246350880	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744830	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69771	17.51691	5.0						2015-08-07	7	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744830				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:08:11.700Z		
2246350861	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744617	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.71135	17.49898	5.0						2015-08-08	8	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744617				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T13:57:37.218Z		
2246350858	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744015	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.70541	17.51919	5.0						2015-08-10	10	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744015				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:05:33.195Z		
2246350817	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745115	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69081	17.51045	5.0						2015-08-06	6	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745115				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:07:58.801Z		
2246350792	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745466	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.68952	17.49032	5.0						2015-08-05	5	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745466				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:13:23.668Z		
2246350712	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74745213	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.68879	17.51081	5.0						2015-08-06	6	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74745213				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:08:03.817Z		
2246350698	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:74744861	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hartsö naturreservat, Srm	Södermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.69661	17.51679	5.0						2015-08-07	7	8	2015	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	74744861				CC0_1_0	Länsstyrelsen Södermanland	Jonas Edlund, Eva Siljeholm			2025-07-19T14:12:30.329Z		
